[INFO][main][2018-03-28 17:24:14][us.codecraft.webmagic.Spider] - Spider mm.taobao.com started!
 [INFO][pool-1-thread-10][2018-03-28 17:25:48][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=555178574
 [INFO][pool-1-thread-4][2018-03-28 17:25:55][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=290551947
 [INFO][pool-1-thread-8][2018-03-28 17:26:00][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=689744369
 [INFO][pool-1-thread-4][2018-03-28 17:26:01][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=745790526
 [INFO][pool-1-thread-2][2018-03-28 17:26:08][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=102188467
 [INFO][pool-1-thread-5][2018-03-28 17:26:08][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=10378945
 [INFO][pool-1-thread-2][2018-03-28 17:26:13][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=93166849
 [INFO][pool-1-thread-4][2018-03-28 17:26:16][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=683431308
 [INFO][pool-1-thread-5][2018-03-28 17:26:16][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=321560743
 [INFO][pool-1-thread-2][2018-03-28 17:26:26][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=53478820
 [INFO][pool-1-thread-5][2018-03-28 17:26:34][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=373588306
 [INFO][pool-1-thread-4][2018-03-28 17:26:40][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=189222122
 [INFO][pool-1-thread-6][2018-03-28 17:26:43][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=410189495
 [INFO][pool-1-thread-2][2018-03-28 17:26:47][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=277949921
 [INFO][pool-1-thread-6][2018-03-28 17:26:49][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=778594462
 [INFO][pool-1-thread-4][2018-03-28 17:26:51][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=59679880
 [INFO][pool-1-thread-2][2018-03-28 17:26:53][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=555548704
 [INFO][pool-1-thread-4][2018-03-28 17:26:59][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=444458165
 [INFO][pool-1-thread-2][2018-03-28 17:27:01][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=143883416
 [INFO][pool-1-thread-6][2018-03-28 17:27:06][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=372477188
 [INFO][pool-1-thread-2][2018-03-28 17:27:11][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=324663784
